directory_id,path,parent_id_raw,subtable_offset,first_file_id
61440,/,46,368,129
61441,/a,61440,431,129
61442,/a/0,61441,444,129
61443,/a/0/0,61442,485,129
61444,/a/0/1,61442,506,139
61445,/a/0/2,61442,527,149
61446,/a/0/3,61442,548,159
61447,/a/0/4,61442,569,169
61448,/a/0/5,61442,590,179
61449,/a/0/6,61442,611,189
61450,/a/0/7,61442,632,199
61451,/a/0/8,61442,653,209
61452,/a/0/9,61442,674,219
61453,/a/1,61441,695,229
61454,/a/1/0,61453,736,229
61455,/a/1/1,61453,757,239
61456,/a/1/2,61453,778,249
61457,/a/1/3,61453,799,259
61458,/a/1/4,61453,820,269
61459,/a/1/5,61453,841,279
61460,/a/1/6,61453,862,289
61461,/a/1/7,61453,883,299
61462,/a/1/8,61453,904,309
61463,/a/1/9,61453,925,319
61464,/a/2,61441,946,329
61465,/a/2/0,61464,975,329
61466,/a/2/1,61464,996,339
61467,/a/2/2,61464,1017,349
61468,/a/2/3,61464,1038,359
61469,/a/2/4,61464,1059,369
61470,/a/2/5,61464,1080,379
61471,/a/2/6,61464,1101,389
61472,/data,61440,1112,394
61473,/data/mushi,61472,2303,475
61474,/data/sound,61472,2340,477
61475,/dwc,61440,2360,478
61476,/fielddata,61440,2373,479
61477,/fielddata/build_model,61476,2411,479
61478,/fielddata/maptable,61476,2478,483
61479,/fielddata/wazaoshie,61476,2491,484
61480,/msgdata,61440,2507,485
61481,/msgdata/scenario,61480,2519,485
61482,/pbr,61440,2533,486
61483,/poketool,61440,2846,509
61484,/poketool/personal,61483,2858,509
61485,/tel,61440,2868,510
