table_index,overlay_id,ram_address,ram_end,ram_size,bss_size,static_init_start,static_init_end,file_id,file_path,file_offset,file_size,file_sha256,compressed_size_field,flags,compression_flag
0,0,35545856,35767296,216448,4992,35745272,35745276,0,__unmapped__/file_00000,786432,129760,20e45958f7232db3e87e3d5cf455db2a4281503731410bd149dad092a3abb9fd,129760,1,True
1,1,35545856,35939712,148064,245792,35693072,35693076,1,__unmapped__/file_00001,916480,110480,fa28e1fa5b9361c3b0624a0034f3026ee403bbddeeb3e79dae6d49a92d30fa4b,110480,1,True
2,2,35939712,35997728,58016,0,35997564,35997568,2,__unmapped__/file_00002,1027072,42964,9aead71b84ef07a527db55b461b481daf0cccb2ef299699d74be5634b7c1de42,42964,1,True
3,3,35997728,36020736,22976,32,36020556,36020560,3,__unmapped__/file_00003,1070080,16760,24b8e85116e89d685e6ec78c34709bbdf57211d22081324203a48e84b1894508,16760,1,True
4,4,35997728,36013440,15712,0,36013412,36013416,4,__unmapped__/file_00004,1086976,11840,6581403a61f8e67d43f0cd4bdd895db865c83ceb2545b19d3e60584de58cd240,11840,1,True
5,5,35767296,35781760,14464,0,35781752,35781756,5,__unmapped__/file_00005,1099264,10012,2a8b7b55a977835e5f2232db275953625f265d4cfd046ca033a194e2ce0c8c57,10012,1,True
6,6,35767296,35768352,1056,0,35768344,35768348,6,__unmapped__/file_00006,1109504,780,90d92645e2868c0ac185bfddd54a6a7dc0e874c2fa34802aeaf0e97211c3c6a9,780,1,True
7,7,35768352,35881664,113312,0,35881532,35881536,7,__unmapped__/file_00007,1110528,78560,721939ae2b78a70be4b3f1d902829b69e7625d4fe477d90f92b4ecdf82bfdf92,78560,1,True
8,8,35768352,35809600,41248,0,35809592,35809596,8,__unmapped__/file_00008,1189376,29364,d10692fd32a71949f02baee8d3fa7387e5c62ec0c8e488521e7b594358e79fee,29364,1,True
9,9,35768352,35768384,32,0,35768352,35768356,9,__unmapped__/file_00009,1219072,20,07d1d94d7d3269a1155925f01090a020e40387e8e8998fc3b4a1a3c633ca4d46,20,1,True
10,10,35768352,35830912,62560,0,35830888,35830892,10,__unmapped__/file_00010,1219584,27656,d46de8af9c9a71461e3f1a512bd07ce93671010050f574e6115505458bd52d95,27656,1,True
11,11,35545856,35545888,32,0,35545856,35545860,11,__unmapped__/file_00011,1247744,20,07d1d94d7d3269a1155925f01090a020e40387e8e8998fc3b4a1a3c633ca4d46,20,1,True
12,12,35881664,36107840,226176,0,36107788,36107796,12,__unmapped__/file_00012,1248256,162548,3fd784967d68e57e0ca35e3abd84a43cea5a88e0d6cf3dba0bdedefff0671d7b,162548,1,True
13,13,35767296,35979360,178816,33248,35939172,35939176,13,__unmapped__/file_00013,1411072,110576,0b4d5e6f5698355d100765f503eb18035ae0fb636e7d24a7764d12323903db9e,110576,1,True
14,14,35545856,35626368,80512,0,35626336,35626340,14,__unmapped__/file_00014,1521664,51564,c3b329737efd5345e48fe28637dabb0524ac617b2a88dc8cb058e060b99caab5,51564,1,True
15,15,35626368,35659424,33024,32,35659000,35659004,15,__unmapped__/file_00015,1573376,22892,3b283a03b068d7aaed9e168f25a1886dcfebca65e7c1188cd2dd86e66d78ff59,22892,1,True
16,16,35659424,35661248,1824,0,35661192,35661196,16,__unmapped__/file_00016,1596416,1520,1140cf3be5cb79cbad9ab2d60e7ac01d39396113f66799979e9a59b7f47fc54a,1520,1,True
17,17,35661248,35670496,9248,0,35670468,35670472,17,__unmapped__/file_00017,1597952,6692,77518c054bf801efa38f0ad5345aec10f031d5cd00b1f2091024312672742988,6692,1,True
