file_id,path,start,end,size
129,a/0/0/0,18805760,18812176,6416
130,a/0/0/1,18812416,18866320,53904
131,a/0/0/2,18866688,18893156,26468
132,a/0/0/3,18893312,18896660,3348
133,a/0/0/4,18896896,30675572,11778676
134,a/0/0/5,30675968,30699076,23108
135,a/0/0/6,30699520,31223444,523924
136,a/0/0/7,31223808,32021516,797708
137,a/0/0/8,32022016,32143584,121568
138,a/0/0/9,32143872,32159156,15284
139,a/0/1/0,32159232,32414864,255632
140,a/0/1/1,32415232,32426588,11356
141,a/0/1/2,32427008,32799020,372012
142,a/0/1/3,32799232,32805980,6748
143,a/0/1/4,32806400,32831396,24996
144,a/0/1/5,32831488,33105864,274376
145,a/0/1/6,33105920,34307428,1201508
146,a/0/1/7,34307584,34330252,22668
147,a/0/1/8,34330624,34779080,448456
148,a/0/1/9,34779136,34859732,80596
149,a/0/2/0,34860032,35449688,589656
150,a/0/2/1,35449856,35501256,51400
151,a/0/2/2,35501568,35534644,33076
152,a/0/2/3,35534848,35539328,4480
153,a/0/2/4,35539456,35544828,5372
154,a/0/2/5,35545088,35549776,4688
155,a/0/2/6,35550208,35805744,255536
156,a/0/2/7,35806208,38807476,3001268
157,a/0/2/8,38807552,38849076,41524
158,a/0/2/9,38849536,41273088,2423552
159,a/0/3/0,41273344,41290284,16940
160,a/0/3/1,41290752,41306980,16228
161,a/0/3/2,41307136,41443920,136784
162,a/0/3/3,41444352,41463548,19196
163,a/0/3/4,41463808,41490276,26468
164,a/0/3/5,41490432,41491876,1444
165,a/0/3/6,41491968,41536908,44940
166,a/0/3/7,41537024,41566044,29020
167,a/0/3/8,41566208,41601580,35372
168,a/0/3/9,41602048,41729200,127152
169,a/0/4/0,41729536,44126840,2397304
170,a/0/4/1,44127232,44139268,12036
171,a/0/4/2,44139520,44141268,1748
172,a/0/4/3,44141568,44146004,4436
173,a/0/4/4,44146176,45979924,1833748
174,a/0/4/5,45980160,45999976,19816
175,a/0/4/6,46000128,46793072,792944
176,a/0/4/7,46793216,46793368,152
177,a/0/4/8,46793728,46915500,121772
178,a/0/4/9,46915584,47251048,335464
179,a/0/5/0,47251456,47267544,16088
180,a/0/5/1,47267840,47451760,183920
181,a/0/5/2,47452160,47463644,11484
182,a/0/5/3,47463936,47596956,133020
183,a/0/5/4,47597056,47624636,27580
184,a/0/5/5,47624704,47645420,20716
185,a/0/5/6,47645696,47672112,26416
186,a/0/5/7,47672320,47679248,6928
187,a/0/5/8,47679488,49343396,1663908
188,a/0/5/9,49343488,49377896,34408
189,a/0/6/0,49378304,49425120,46816
190,a/0/6/1,49425408,49437720,12312
191,a/0/6/2,49438208,49461888,23680
192,a/0/6/3,49462272,49525928,63656
193,a/0/6/4,49526272,49545584,19312
194,a/0/6/5,49545728,69082372,19536644
195,a/0/6/6,69082624,69083956,1332
196,a/0/6/7,69084160,69157148,72988
197,a/0/6/8,69157376,69214716,57340
198,a/0/6/9,69214720,69273324,58604
199,a/0/7/0,69273600,71043276,1769676
200,a/0/7/1,71043584,71117992,74408
201,a/0/7/2,71118336,71137040,18704
202,a/0/7/3,71137280,71141368,4088
203,a/0/7/4,71141376,71165476,24100
204,a/0/7/5,71165952,71167128,1176
205,a/0/7/6,71167488,71177764,10276
206,a/0/7/7,71178240,71200516,22276
207,a/0/7/8,71200768,71206180,5412
208,a/0/7/9,71206400,71316272,109872
209,a/0/8/0,71316480,71384020,67540
210,a/0/8/1,71384064,76021432,4637368
211,a/0/8/2,76021760,76198364,176604
212,a/0/8/3,76198400,76199268,868
213,a/0/8/4,76199424,76221156,21732
214,a/0/8/5,76221440,76235176,13736
215,a/0/8/6,76235264,76249404,14140
216,a/0/8/7,76249600,76281356,31756
217,a/0/8/8,76281856,76432820,150964
218,a/0/8/9,76432896,76464408,31512
219,a/0/9/0,76464640,76493140,28500
220,a/0/9/1,76493312,76497596,4284
221,a/0/9/2,76497920,76498532,612
222,a/0/9/3,76498944,76533256,34312
223,a/0/9/4,76533760,77006380,472620
224,a/0/9/5,77006848,77372108,365260
225,a/0/9/6,77372416,77375432,3016
226,a/0/9/7,77375488,77394840,19352
227,a/0/9/8,77394944,77398216,3272
228,a/0/9/9,77398528,77441016,42488
229,a/1/0/0,77441024,77494536,53512
230,a/1/0/1,77494784,77524812,30028
231,a/1/0/2,77524992,77526820,1828
232,a/1/0/3,77527040,77672040,145000
233,a/1/0/4,77672448,77716864,44416
234,a/1/0/5,77716992,77718040,1048
235,a/1/0/6,77718528,78052136,333608
236,a/1/0/7,78052352,78063284,10932
237,a/1/0/8,78063616,78070772,7156
238,a/1/0/9,78070784,78478028,407244
239,a/1/1/0,78478336,78520924,42588
240,a/1/1/1,78521344,78535236,13892
241,a/1/1/2,78535680,78536928,1248
242,a/1/1/3,78537216,78571476,34260
243,a/1/1/4,78571520,79618988,1047468
244,a/1/1/5,79619072,79630076,11004
245,a/1/1/6,79630336,79640044,9708
246,a/1/1/7,79640064,79642036,1972
247,a/1/1/8,79642112,79647204,5092
248,a/1/1/9,79647232,79656596,9364
249,a/1/2/0,79656960,79785684,128724
250,a/1/2/1,79785984,79786880,896
251,a/1/2/2,79787008,80120476,333468
252,a/1/2/3,80120832,80273012,152180
253,a/1/2/4,80273408,80278728,5320
254,a/1/2/5,80279040,80282060,3020
255,a/1/2/6,80282112,80334132,52020
256,a/1/2/7,80334336,80429696,95360
257,a/1/2/8,80430080,80463808,33728
258,a/1/2/9,80463872,80486748,22876
259,a/1/3/0,80486912,80544224,57312
260,a/1/3/1,80544256,80545788,1532
261,a/1/3/2,80545792,80546348,556
262,a/1/3/3,80546816,80606948,60132
263,a/1/3/4,80607232,80656944,49712
264,a/1/3/5,80657408,80657964,556
265,a/1/3/6,80658432,80687452,29020
266,a/1/3/7,80687616,80688172,556
267,a/1/3/8,80688640,80689688,1048
268,a/1/3/9,80690176,80710428,20252
269,a/1/4/0,80710656,80726268,15612
270,a/1/4/1,80726528,80733372,6844
271,a/1/4/2,80733696,80852036,118340
272,a/1/4/3,80852480,80975856,123376
273,a/1/4/4,80975872,81180668,204796
274,a/1/4/5,81180672,81250776,70104
275,a/1/4/6,81250816,81479700,228884
276,a/1/4/7,81480192,81556776,76584
277,a/1/4/8,81556992,82983848,1426856
278,a/1/4/9,82983936,83035412,51476
279,a/1/5/0,83035648,84071800,1036152
280,a/1/5/1,84071936,84080648,8712
281,a/1/5/2,84081152,84082864,1712
282,a/1/5/3,84083200,84133864,50664
283,a/1/5/4,84133888,84235840,101952
284,a/1/5/5,84236288,84236352,64
285,a/1/5/6,84236800,84341312,104512
286,a/1/5/7,84341760,84354612,12852
287,a/1/5/8,84355072,84367468,12396
288,a/1/5/9,84367872,84446160,78288
289,a/1/6/0,84446208,84511640,65432
290,a/1/6/1,84511744,84517560,5816
291,a/1/6/2,84517888,84608804,90916
292,a/1/6/3,84609024,84642412,33388
293,a/1/6/4,84642816,84644224,1408
294,a/1/6/5,84644352,84645440,1088
295,a/1/6/6,84645888,84732952,87064
296,a/1/6/7,84733440,84838532,105092
297,a/1/6/8,84838912,84955216,116304
298,a/1/6/9,84955648,84971212,15564
299,a/1/7/0,84971520,84972892,1372
300,a/1/7/1,84973056,85028500,55444
301,a/1/7/2,85028864,85087928,59064
302,a/1/7/3,85088256,85093240,4984
303,a/1/7/4,85093376,85611908,518532
304,a/1/7/5,85612032,85625124,13092
305,a/1/7/6,85625344,85649724,24380
306,a/1/7/7,85649920,85697720,47800
307,a/1/7/8,85698048,85824780,126732
308,a/1/7/9,85825024,86666216,841192
309,a/1/8/0,86666240,86710268,44028
310,a/1/8/1,86710272,86722016,11744
311,a/1/8/2,86722048,86764848,42800
312,a/1/8/3,86765056,87610048,844992
313,a/1/8/4,87610368,87658776,48408
314,a/1/8/5,87659008,87662140,3132
315,a/1/8/6,87662592,87753828,91236
316,a/1/8/7,87754240,87945964,191724
317,a/1/8/8,87946240,88010264,64024
318,a/1/8/9,88010752,88270448,259696
319,a/1/9/0,88270848,88364116,93268
320,a/1/9/1,88364544,89073360,708816
321,a/1/9/2,89073664,89290276,216612
322,a/1/9/3,89290752,89548596,257844
323,a/1/9/4,102218752,102241860,23108
324,a/1/9/5,102242304,102243988,1684
325,a/1/9/6,102244352,102308772,64420
326,a/1/9/7,102308864,102334988,26124
327,a/1/9/8,102335488,102437000,101512
328,a/1/9/9,102437376,102740384,303008
329,a/2/0/0,102740480,102757520,17040
330,a/2/0/1,102757888,103569920,812032
331,a/2/0/2,103569920,103607080,37160
332,a/2/0/3,103607296,103630172,22876
333,a/2/0/4,103630336,103641860,11524
334,a/2/0/5,103642112,103804780,162668
335,a/2/0/6,103804928,103810636,5708
336,a/2/0/7,103811072,104174508,363436
337,a/2/0/8,104174592,104210900,36308
338,a/2/0/9,104210944,104282404,71460
339,a/2/1/0,104282624,104283044,420
340,a/2/1/1,104283136,104304728,21592
341,a/2/1/2,104305152,104306652,1500
342,a/2/1/3,104306688,104322636,15948
343,a/2/1/4,104323072,104347176,24104
344,a/2/1/5,104347648,104378688,31040
345,a/2/1/6,104378880,104508680,129800
346,a/2/1/7,104508928,104623960,115032
347,a/2/1/8,104624128,104658652,34524
348,a/2/1/9,104658944,104789888,130944
349,a/2/2/0,104790016,104934356,144340
350,a/2/2/1,104934400,104995832,61432
351,a/2/2/2,104995840,105005396,9556
352,a/2/2/3,105005568,105029580,24012
353,a/2/2/4,105029632,105160060,130428
354,a/2/2/5,105160192,105162404,2212
355,a/2/2/6,105162752,105167436,4684
356,a/2/2/7,105167872,105168264,392
357,a/2/2/8,105168384,105746160,577776
358,a/2/2/9,105746432,105750584,4152
359,a/2/3/0,105751040,105762132,11092
360,a/2/3/1,105762304,105762860,556
361,a/2/3/2,105763328,105785064,21736
362,a/2/3/3,105785344,106922972,1137628
363,a/2/3/4,106923008,107025800,102792
364,a/2/3/5,107025920,107040608,14688
365,a/2/3/6,107040768,107065496,24728
366,a/2/3/7,107065856,107095868,30012
367,a/2/3/8,107096064,107515156,419092
368,a/2/3/9,107515392,107521264,5872
369,a/2/4/0,107521536,107543028,21492
370,a/2/4/1,107543040,107547168,4128
371,a/2/4/2,107547648,107555072,7424
372,a/2/4/3,107555328,107992428,437100
373,a/2/4/4,107992576,108076900,84324
374,a/2/4/5,108077056,110561536,2484480
375,a/2/4/6,110561792,110641228,79436
376,a/2/4/7,110641664,110659912,18248
377,a/2/4/8,110660096,110795820,135724
378,a/2/4/9,110796288,110817728,21440
379,a/2/5/0,110817792,110823160,5368
380,a/2/5/1,110823424,110827692,4268
381,a/2/5/2,110828032,110859812,31780
382,a/2/5/3,110860288,110866820,6532
383,a/2/5/4,110866944,110869228,2284
384,a/2/5/5,110869504,110875216,5712
385,a/2/5/6,110875648,111414632,538984
386,a/2/5/7,111414784,111417424,2640
387,a/2/5/8,111417856,111419508,1652
388,a/2/5/9,111419904,111424252,4348
389,a/2/6/0,111424512,111429288,4776
390,a/2/6/1,111429632,111430932,1300
391,a/2/6/2,111431168,111833288,402120
392,a/2/6/3,111833600,112028480,194880
393,a/2/6/4,112028672,112043156,14484
394,data/area00light.txt,3283968,3285973,2005
395,data/area01light.txt,3286016,3288040,2024
396,data/area02light.txt,3288064,3290178,2114
397,data/arealight.narc,3290624,3299000,8376
398,data/battle_win.NSCR,3299328,3301412,2084
399,data/cell0.NCGR,3301888,3310128,8240
400,data/cell0.NCLR,3310592,3311144,552
401,data/clact_default.NANR,3311616,3311727,111
402,data/crystal.nsbmd,3312128,3315460,3332
403,data/demo_climax.narc,3315712,3788332,472620
404,data/dp_areawindow.NCGR,3788800,3789168,368
405,data/dp_areawindow.NCLR,3789312,3789864,552
406,data/dun20_01light.txt,3790336,3790470,134
407,data/dun20_02light.txt,3790848,3790982,134
408,data/dun_sea.nsbtx,3791360,3792760,1400
409,data/eoo.dat,3792896,4266496,473600
410,data/exdata.dat,4266496,4266788,292
411,data/field_cutin.narc,4267008,4301320,34312
412,data/fldtanime.narc,4301824,4322076,20252
413,data/fs_kanban.nsbca,4322304,4324340,2036
414,data/ground0.NCGR,4324352,4357168,32816
415,data/ground0.NCLR,4357632,4358184,552
416,data/ground0.NSCR,4358656,4360740,2084
417,data/guru2.narc,4361216,4552940,191724
418,data/kemu_itpconv.dat,4553216,4553236,20
419,data/kowaza.narc,4553728,4557880,4152
420,data/lake_anim.nsbtx,4558336,4562768,4432
421,data/miniasahamabe.nsbtx,4562944,4567432,4488
422,data/miniasasea.nsbtx,4567552,4568952,1400
423,data/minihamabe.nsbtx,4569088,4573576,4488
424,data/minimum.nsbtx,4573696,4575096,1400
425,data/minirhana.nsbtx,4575232,4575944,712
426,data/nfont.NCGR,4576256,4609072,32816
427,data/nfont.NCLR,4609536,4610088,552
428,data/pc.nsbca,4610560,4610956,396
429,data/pl_wifi.ncgr,4611072,4611648,576
430,data/pl_wm.ncgr,4612096,4612672,576
431,data/pl_wm.nclr,4613120,4613672,552
432,data/slot.narc,4614144,4702532,88388
433,data/smptm_koori.NANR,4702720,4702883,163
434,data/smptm_koori.NCER,4703232,4703447,215
435,data/smptm_koori.NCGR,4703744,4706992,3248
436,data/smptm_koori.NCLR,4707328,4707880,552
437,data/smptm_nemuri.NANR,4708352,4708463,111
438,data/smptm_nemuri.NCER,4708864,4708963,99
439,data/smptm_nemuri.NCGR,4709376,4709936,560
440,data/smptm_nemuri.NCLR,4710400,4710952,552
441,data/str2uni.bin,4711424,4716256,4832
442,data/t3_fl_b.nsbtx,4716544,4717136,592
443,data/t3_fl_p.nsbtx,4717568,4718160,592
444,data/t3_fl_r.nsbtx,4718592,4719184,592
445,data/t3_fl_y.nsbtx,4719616,4720208,592
446,data/test.atr,4720640,4722688,2048
